Package,TaskView,,,,,
abc,Bayesian,,,,,
abn,Bayesian,,,,,
AdMit,Bayesian,,,,,
armæ(core),Bayesian,,,,,
AtelieR,Bayesian,,,,,
BaBooN,Bayesian,,,,,
BACCOæ(core),Bayesian,,,,,
BaM,Bayesian,,,,,
BAS,Bayesian,,,,,
BayesDA,Bayesian,,,,,
bayesGARCH,Bayesian,,,,,
bayesImageS,Bayesian,,,,,
bayesmæ(core),Bayesian,,,,,
bayesmeta,Bayesian,,,,,
bayesmix,Bayesian,,,,,
bayesQR,Bayesian,,,,,
BayesSummaryStatLM,Bayesian,,,,,
bayesSurvæ(core),Bayesian,,,,,
Bayesthresh,Bayesian,,,,,
BayesTree,Bayesian,,,,,
BayesValidate,Bayesian,,,,,
BayesVarSel,Bayesian,,,,,
BayesX,Bayesian,,,,,
BayHaz,Bayesian,,,,,
BAYSTAR,Bayesian,,,,,
bbemkr,Bayesian,,,,,
BCBCSF,Bayesian,,,,,
BCE,Bayesian,,,,,
bclust,Bayesian,,,,,
bcp,Bayesian,,,,,
bisoreg,Bayesian,,,,,
BLR,Bayesian,,,,,
BMA,Bayesian,,,,,
Bmix,Bayesian,,,,,
BMS,Bayesian,,,,,
bnlearn,Bayesian,,,,,
boaæ(core),Bayesian,,,,,
Bolstad,Bayesian,,,,,
Boom,Bayesian,,,,,
BoomSpikeSlab,Bayesian,,,,,
bqtl,Bayesian,,,,,
bridgesampling,Bayesian,,,,,
bspec,Bayesian,,,,,
bspmma,Bayesian,,,,,
BSquare,Bayesian,,,,,
bsts,Bayesian,,,,,
BVS,Bayesian,,,,,
catnet,Bayesian,,,,,
coalescentMCMC,Bayesian,,,,,
codaæ(core),Bayesian,,,,,
cudaBayesreg,Bayesian,,,,,
dclone,Bayesian,,,,,
deal,Bayesian,,,,,
deBInfer,Bayesian,,,,,
dlm,Bayesian,,,,,
DPpackageæ(core),Bayesian,,,,,
EbayesThresh,Bayesian,,,,,
ebdbNet,Bayesian,,,,,
eco,Bayesian,,,,,
eigenmodel,Bayesian,,,,,
ensembleBMA,Bayesian,,,,,
evdbayes,Bayesian,,,,,
exactLoglinTest,Bayesian,,,,,
factorQR,Bayesian,,,,,
FME,Bayesian,,,,,
geoR,Bayesian,,,,,
geoRglm,Bayesian,,,,,
ggmcmc,Bayesian,,,,,
glmmBUGS,Bayesian,,,,,
gRain,Bayesian,,,,,
growcurves,Bayesian,,,,,
hbsae,Bayesian,,,,,
HI,Bayesian,,,,,
Hmisc,Bayesian,,,,,
iterLap,Bayesian,,,,,
LaplacesDemon,Bayesian,,,,,
LearnBayes,Bayesian,,,,,
lme4,Bayesian,,,,,
lmm,Bayesian,,,,,
MasterBayes,Bayesian,,,,,
matchingMarkets,Bayesian,,,,,
mcmcæ(core),Bayesian,,,,,
MCMCglmm,Bayesian,,,,,
MCMCpackæ(core),Bayesian,,,,,
mgcv,Bayesian,,,,,
mlogitBMA,Bayesian,,,,,
MNP,Bayesian,,,,,
mombf,Bayesian,,,,,
monomvn,Bayesian,,,,,
MSBVAR,Bayesian,,,,,
NetworkChange,Bayesian,,,,,
nimble,Bayesian,,,,,
openEBGM,Bayesian,,,,,
pacbpred,Bayesian,,,,,
PAWL,Bayesian,,,,,
PottsUtils,Bayesian,,,,,
predmixcor,Bayesian,,,,,
PReMiuM,Bayesian,,,,,
prevalence,Bayesian,,,,,
profdpm,Bayesian,,,,,
pscl,Bayesian,,,,,
R2jags,Bayesian,,,,,
R2WinBUGS,Bayesian,,,,,
ramps,Bayesian,,,,,
rbugs,Bayesian,,,,,
revdbayes,Bayesian,,,,,
RJaCGH,Bayesian,,,,,
rjags,Bayesian,,,,,
RSGHB,Bayesian,,,,,
RSGHB,Bayesian,,,,,
rstan,Bayesian,,,,,
rstiefel,Bayesian,,,,,
runjags,Bayesian,,,,,
Runuran,Bayesian,,,,,
RxCEcolInf,Bayesian,,,,,
SamplerCompare,Bayesian,,,,,
SampleSizeMeans,Bayesian,,,,,
SampleSizeProportions,Bayesian,,,,,
sbgcop,Bayesian,,,,,
SimpleTable,Bayesian,,,,,
sna,Bayesian,,,,,
spBayes,Bayesian,,,,,
spikeslab,Bayesian,,,,,
spikeSlabGAM,Bayesian,,,,,
spTimer,Bayesian,,,,,
stochvol,Bayesian,,,,,
tgp,Bayesian,,,,,
tRophicPosition,Bayesian,,,,,
zic,Bayesian,,,,,
ALSæ(core),ChemPhys,,,,,
AnalyzeFMRI,ChemPhys,,,,,
AquaEnv,ChemPhys,,,,,
astro,ChemPhys,,,,,
astrochron,ChemPhys,,,,,
astrodatR,ChemPhys,,,,,
astroFns,ChemPhys,,,,,
astrolibR,ChemPhys,,,,,
Bchron,ChemPhys,,,,,
BioMark,ChemPhys,,,,,
bvls,ChemPhys,,,,,
celestial,ChemPhys,,,,,
CellularAutomaton,ChemPhys,,,,,
chemCalæ(core),ChemPhys,,,,,
chemometrics,ChemPhys,,,,,
ChemometricsWithR,ChemPhys,,,,,
ChemoSpec,ChemPhys,,,,,
CHNOSZ,ChemPhys,,,,,
clustvarsel,ChemPhys,,,,,
compositions,ChemPhys,,,,,
cosmoFns,ChemPhys,,,,,
CosmoPhotoz,ChemPhys,,,,,
CRAC,ChemPhys,,,,,
dielectric,ChemPhys,,,,,
diffractometry,ChemPhys,,,,,
drc,ChemPhys,,,,,
drm,ChemPhys,,,,,
EEM,ChemPhys,,,,,
elasticnet,ChemPhys,,,,,
enpls,ChemPhys,,,,,
fastICA,ChemPhys,,,,,
FITSio,ChemPhys,,,,,
fmri,ChemPhys,,,,,
fpca,ChemPhys,,,,,
FTICRMS,ChemPhys,,,,,
homals,ChemPhys,,,,,
hyperSpec,ChemPhys,,,,,
investr,ChemPhys,,,,,
Isoæ(core),ChemPhys,,,,,
kohonenæ(core),ChemPhys,,,,,
leaps,ChemPhys,,,,,
lira,ChemPhys,,,,,
lspls,ChemPhys,,,,,
MALDIquant,ChemPhys,,,,,
minpack.lm,ChemPhys,,,,,
moonsun,ChemPhys,,,,,
nlme,ChemPhys,,,,,
nlreg,ChemPhys,,,,,
nnlsæ(core),ChemPhys,,,,,
OrgMassSpecR,ChemPhys,,,,,
pcaPP,ChemPhys,,,,,
Peaks,ChemPhys,,,,,
PET,ChemPhys,,,,,
planar,ChemPhys,,,,,
plsæ(core),ChemPhys,,,,,
plspm,ChemPhys,,,,,
ppls,ChemPhys,,,,,
prospectr,ChemPhys,,,,,
psy,ChemPhys,,,,,
PTAkæ(core),ChemPhys,,,,,
quantchem,ChemPhys,,,,,
rcdk,ChemPhys,,,,,
rcdklibs,ChemPhys,,,,,
represent,ChemPhys,,,,,
resemble,ChemPhys,,,,,
RobPer,ChemPhys,,,,,
rpubchem,ChemPhys,,,,,
sapa,ChemPhys,,,,,
SCEPtER,ChemPhys,,,,,
SCEPtERbinary,ChemPhys,,,,,
simecol,ChemPhys,,,,,
snapshot,ChemPhys,,,,,
solaR,ChemPhys,,,,,
som,ChemPhys,,,,,
SPADAR,ChemPhys,,,,,
speaq,ChemPhys,,,,,
spls,ChemPhys,,,,,
stellaR,ChemPhys,,,,,
stepPlr,ChemPhys,,,,,
subselect,ChemPhys,,,,,
TIMP,ChemPhys,,,,,
titan,ChemPhys,,,,,
titrationCurves,ChemPhys,,,,,
UPMASK,ChemPhys,,,,,
